warning_id,project_id,canonical_project_id,warning_type,severity,trigger_value,trigger_description,recommended_action
400081-PROGRESS_STAGNATION,400081,400081,PROGRESS_STAGNATION,HIGH,0.1666666666666666,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400081-EXPENDITURE_PROGRESS_DIVERGENCE,400081,400081,EXPENDITURE_PROGRESS_DIVERGENCE,HIGH,1313.6370843822538,Expenditure is unusually ahead of physical progress relative to the portfolio.,Review expenditure milestones against physical deliverables.
400081-ANOMALOUS_TRAJECTORY,400081,400081,ANOMALOUS_TRAJECTORY,HIGH,0.12810771730129467,Observed pattern is unusual relative to the current portfolio.,Review the underlying reporting and project milestones.
400087-COST_ESCALATION,400087,400087,COST_ESCALATION,HIGH,52.163996251256165,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
400097-PROGRESS_STAGNATION,400097,400097,PROGRESS_STAGNATION,HIGH,0.099999999999999,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400100-PROGRESS_STAGNATION,400100,400100,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400100-EXPENDITURE_PROGRESS_DIVERGENCE,400100,400100,EXPENDITURE_PROGRESS_DIVERGENCE,HIGH,66.19048199835814,Expenditure is unusually ahead of physical progress relative to the portfolio.,Review expenditure milestones against physical deliverables.
400100-COST_ESCALATION,400100,400100,COST_ESCALATION,HIGH,189.8286361705141,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
400100-ANOMALOUS_TRAJECTORY,400100,400100,ANOMALOUS_TRAJECTORY,MEDIUM,0.09981516662469636,Observed pattern is unusual relative to the current portfolio.,Review the underlying reporting and project milestones.
400101-PROGRESS_STAGNATION,400101,400101,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400101-COST_ESCALATION,400101,400101,COST_ESCALATION,HIGH,75.48375732870333,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
400102-PROGRESS_STAGNATION,400102,400102,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400103-PROGRESS_STAGNATION,400103,400103,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400103-COST_ESCALATION,400103,400103,COST_ESCALATION,HIGH,346.1871854578232,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
400103-ANOMALOUS_TRAJECTORY,400103,400103,ANOMALOUS_TRAJECTORY,MEDIUM,0.046296510713794925,Observed pattern is unusual relative to the current portfolio.,Review the underlying reporting and project milestones.
400104-DATA_QUALITY_REVIEW,400104,400104,DATA_QUALITY_REVIEW,LOW,32.9,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
400105-PROGRESS_STAGNATION,400105,400105,PROGRESS_STAGNATION,HIGH,0.0733333333333329,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400107-PROGRESS_STAGNATION,400107,400107,PROGRESS_STAGNATION,HIGH,0.180000000000002,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400109-PROGRESS_STAGNATION,400109,400109,PROGRESS_STAGNATION,HIGH,0.2099999999999985,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400111-COST_ESCALATION,400111,400111,COST_ESCALATION,HIGH,58.06248233580449,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
400115-PROGRESS_STAGNATION,400115,400115,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400116-PROGRESS_STAGNATION,400116,400116,PROGRESS_STAGNATION,HIGH,0.0333333333333314,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400116-EXPENDITURE_PROGRESS_DIVERGENCE,400116,400116,EXPENDITURE_PROGRESS_DIVERGENCE,HIGH,80.72619561334572,Expenditure is unusually ahead of physical progress relative to the portfolio.,Review expenditure milestones against physical deliverables.
400119-PROGRESS_STAGNATION,400119,400119,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400120-PROGRESS_STAGNATION,400120,400120,PROGRESS_STAGNATION,HIGH,0.1333333333333352,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400120-ANOMALOUS_TRAJECTORY,400120,400120,ANOMALOUS_TRAJECTORY,MEDIUM,0.031778920756109885,Observed pattern is unusual relative to the current portfolio.,Review the underlying reporting and project milestones.
400136-PROGRESS_STAGNATION,400136,400136,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400138-PROGRESS_STAGNATION,400138,400138,PROGRESS_STAGNATION,HIGH,0.0833333333333333,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400138-EXPENDITURE_PROGRESS_DIVERGENCE,400138,400138,EXPENDITURE_PROGRESS_DIVERGENCE,HIGH,54.20381612737545,Expenditure is unusually ahead of physical progress relative to the portfolio.,Review expenditure milestones against physical deliverables.
400139-PROGRESS_DETERIORATION,400139,400139,PROGRESS_DETERIORATION,CRITICAL,-0.7233333333333339,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
400139-EXPENDITURE_PROGRESS_DIVERGENCE,400139,400139,EXPENDITURE_PROGRESS_DIVERGENCE,HIGH,27.210086344739366,Expenditure is unusually ahead of physical progress relative to the portfolio.,Review expenditure milestones against physical deliverables.
400142-PROGRESS_STAGNATION,400142,400142,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400144-PROGRESS_STAGNATION,400144,400144,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400148-PROGRESS_STAGNATION,400148,400148,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400149-PROGRESS_STAGNATION,400149,400149,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400150-PROGRESS_DETERIORATION,400150,400150,PROGRESS_DETERIORATION,CRITICAL,-0.263333333333333,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
400151-PROGRESS_DETERIORATION,400151,400151,PROGRESS_DETERIORATION,CRITICAL,-0.8266666666666632,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
400151-EXPENDITURE_PROGRESS_DIVERGENCE,400151,400151,EXPENDITURE_PROGRESS_DIVERGENCE,HIGH,25.430758316254146,Expenditure is unusually ahead of physical progress relative to the portfolio.,Review expenditure milestones against physical deliverables.
400152-DATA_QUALITY_REVIEW,400152,400152,DATA_QUALITY_REVIEW,LOW,28.6,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
400155-PROGRESS_DETERIORATION,400155,400155,PROGRESS_DETERIORATION,CRITICAL,-0.370000000000001,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
400156-PROGRESS_DETERIORATION,400156,400156,PROGRESS_DETERIORATION,CRITICAL,-0.253333333333335,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
400160-PROGRESS_DETERIORATION,400160,400160,PROGRESS_DETERIORATION,CRITICAL,-0.8800000000000002,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
400161-DATA_QUALITY_REVIEW,400161,400161,DATA_QUALITY_REVIEW,LOW,24.3,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
400165-EXPENDITURE_PROGRESS_DIVERGENCE,400165,400165,EXPENDITURE_PROGRESS_DIVERGENCE,HIGH,32.12064416906264,Expenditure is unusually ahead of physical progress relative to the portfolio.,Review expenditure milestones against physical deliverables.
400171-PROGRESS_STAGNATION,400171,400171,PROGRESS_STAGNATION,HIGH,0.0333333333333361,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400172-PROGRESS_STAGNATION,400172,400172,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400173-PROGRESS_STAGNATION,400173,400173,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400174-COST_ESCALATION,400174,400174,COST_ESCALATION,HIGH,69.4664461658978,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
400177-PROGRESS_STAGNATION,400177,400177,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400178-PROGRESS_STAGNATION,400178,400178,PROGRESS_STAGNATION,HIGH,0.0300000000000011,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400178-EXPENDITURE_PROGRESS_DIVERGENCE,400178,400178,EXPENDITURE_PROGRESS_DIVERGENCE,HIGH,55.6173264631538,Expenditure is unusually ahead of physical progress relative to the portfolio.,Review expenditure milestones against physical deliverables.
400180-PROGRESS_STAGNATION,400180,400180,PROGRESS_STAGNATION,HIGH,0.0099999999999991,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400182-PROGRESS_STAGNATION,400182,400182,PROGRESS_STAGNATION,HIGH,0.2033333333333331,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400186-PROGRESS_STAGNATION,400186,400186,PROGRESS_STAGNATION,HIGH,0.08,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400188-PROGRESS_DETERIORATION,400188,400188,PROGRESS_DETERIORATION,CRITICAL,-0.0333333333333314,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
400192-EXPENDITURE_PROGRESS_DIVERGENCE,400192,400192,EXPENDITURE_PROGRESS_DIVERGENCE,HIGH,126.02972802024036,Expenditure is unusually ahead of physical progress relative to the portfolio.,Review expenditure milestones against physical deliverables.
400192-ANOMALOUS_TRAJECTORY,400192,400192,ANOMALOUS_TRAJECTORY,MEDIUM,0.035540853714248644,Observed pattern is unusual relative to the current portfolio.,Review the underlying reporting and project milestones.
400203-PROGRESS_STAGNATION,400203,400203,PROGRESS_STAGNATION,HIGH,0.0666666666666676,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400203-EXPENDITURE_PROGRESS_DIVERGENCE,400203,400203,EXPENDITURE_PROGRESS_DIVERGENCE,HIGH,216.8959327955776,Expenditure is unusually ahead of physical progress relative to the portfolio.,Review expenditure milestones against physical deliverables.
400203-ANOMALOUS_TRAJECTORY,400203,400203,ANOMALOUS_TRAJECTORY,HIGH,0.18007832274542523,Observed pattern is unusual relative to the current portfolio.,Review the underlying reporting and project milestones.
400205-PROGRESS_DETERIORATION,400205,400205,PROGRESS_DETERIORATION,CRITICAL,-1.0,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
400205-EXPENDITURE_PROGRESS_DIVERGENCE,400205,400205,EXPENDITURE_PROGRESS_DIVERGENCE,HIGH,54.16802424701648,Expenditure is unusually ahead of physical progress relative to the portfolio.,Review expenditure milestones against physical deliverables.
400205-ANOMALOUS_TRAJECTORY,400205,400205,ANOMALOUS_TRAJECTORY,MEDIUM,0.013321023499870577,Observed pattern is unusual relative to the current portfolio.,Review the underlying reporting and project milestones.
400220-PROGRESS_STAGNATION,400220,400220,PROGRESS_STAGNATION,HIGH,0.0166666666666704,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400223-PROGRESS_STAGNATION,400223,400223,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400223-COST_ESCALATION,400223,400223,COST_ESCALATION,HIGH,145.2384291725105,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
400232-PROGRESS_DETERIORATION,400232,400232,PROGRESS_DETERIORATION,CRITICAL,-0.3333333333333333,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
400247-PROGRESS_DETERIORATION,400247,400247,PROGRESS_DETERIORATION,CRITICAL,-8.5,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
400247-COST_ESCALATION,400247,400247,COST_ESCALATION,HIGH,115.39099999999998,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
400247-ANOMALOUS_TRAJECTORY,400247,400247,ANOMALOUS_TRAJECTORY,MEDIUM,0.07016036077986765,Observed pattern is unusual relative to the current portfolio.,Review the underlying reporting and project milestones.
400254-PROGRESS_DETERIORATION,400254,400254,PROGRESS_DETERIORATION,CRITICAL,-1.400000000000001,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
400271-PROGRESS_STAGNATION,400271,400271,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400273-PROGRESS_DETERIORATION,400273,400273,PROGRESS_DETERIORATION,CRITICAL,-7.300000000000002,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
400273-COST_ESCALATION,400273,400273,COST_ESCALATION,HIGH,58.01682085786375,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
400273-ANOMALOUS_TRAJECTORY,400273,400273,ANOMALOUS_TRAJECTORY,MEDIUM,0.0060245663714558195,Observed pattern is unusual relative to the current portfolio.,Review the underlying reporting and project milestones.
400275-PROGRESS_DETERIORATION,400275,400275,PROGRESS_DETERIORATION,CRITICAL,-0.1666666666666666,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
400277-PROGRESS_STAGNATION,400277,400277,PROGRESS_STAGNATION,HIGH,0.1333333333333352,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400280-PROGRESS_STAGNATION,400280,400280,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400291-PROGRESS_DETERIORATION,400291,400291,PROGRESS_DETERIORATION,CRITICAL,-2.866666666666665,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
400298-PROGRESS_DETERIORATION,400298,400298,PROGRESS_DETERIORATION,CRITICAL,-17.669999999999998,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
400298-EXPENDITURE_PROGRESS_DIVERGENCE,400298,400298,EXPENDITURE_PROGRESS_DIVERGENCE,HIGH,216.0300472567867,Expenditure is unusually ahead of physical progress relative to the portfolio.,Review expenditure milestones against physical deliverables.
400298-COST_ESCALATION,400298,400298,COST_ESCALATION,HIGH,155.45112456747404,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
400298-ANOMALOUS_TRAJECTORY,400298,400298,ANOMALOUS_TRAJECTORY,HIGH,0.28963914676857494,Observed pattern is unusual relative to the current portfolio.,Review the underlying reporting and project milestones.
400299-PROGRESS_STAGNATION,400299,400299,PROGRESS_STAGNATION,HIGH,0.099999999999999,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400301-COST_ESCALATION,400301,400301,COST_ESCALATION,HIGH,155.45722713864308,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
400313-DATA_QUALITY_REVIEW,400313,400313,DATA_QUALITY_REVIEW,LOW,32.9,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
400315-PROGRESS_STAGNATION,400315,400315,PROGRESS_STAGNATION,HIGH,0.0100000000000003,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400352-PROGRESS_STAGNATION,400352,400352,PROGRESS_STAGNATION,HIGH,0.0733333333333353,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400353-PROGRESS_STAGNATION,400353,400353,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400382-PROGRESS_STAGNATION,400382,400382,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400424-PROGRESS_STAGNATION,400424,400424,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400426-PROGRESS_DETERIORATION,400426,400426,PROGRESS_DETERIORATION,CRITICAL,-18.956666666666667,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
400426-COST_ESCALATION,400426,400426,COST_ESCALATION,HIGH,104.70167424421987,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
400426-ANOMALOUS_TRAJECTORY,400426,400426,ANOMALOUS_TRAJECTORY,MEDIUM,0.11593848143008922,Observed pattern is unusual relative to the current portfolio.,Review the underlying reporting and project milestones.
423500-DATA_QUALITY_REVIEW,423500,423500,DATA_QUALITY_REVIEW,LOW,24.3,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
453000-DATA_QUALITY_REVIEW,453000,453000,DATA_QUALITY_REVIEW,LOW,25.7,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
468100-DATA_QUALITY_REVIEW,468100,468100,DATA_QUALITY_REVIEW,LOW,24.3,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
505491-EXPENDITURE_PROGRESS_DIVERGENCE,505491,505491,EXPENDITURE_PROGRESS_DIVERGENCE,HIGH,108.81278879117602,Expenditure is unusually ahead of physical progress relative to the portfolio.,Review expenditure milestones against physical deliverables.
505491-ANOMALOUS_TRAJECTORY,505491,505491,ANOMALOUS_TRAJECTORY,MEDIUM,0.05745362662161513,Observed pattern is unusual relative to the current portfolio.,Review the underlying reporting and project milestones.
534476-DATA_QUALITY_REVIEW,534476,534476,DATA_QUALITY_REVIEW,LOW,24.3,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
602096-PROGRESS_STAGNATION,602096,602096,PROGRESS_STAGNATION,HIGH,0.1133333333333344,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
602096-COST_ESCALATION,602096,602096,COST_ESCALATION,HIGH,314.86349960940794,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
602096-ANOMALOUS_TRAJECTORY,602096,602096,ANOMALOUS_TRAJECTORY,MEDIUM,0.0692472271479101,Observed pattern is unusual relative to the current portfolio.,Review the underlying reporting and project milestones.
602098-PROGRESS_STAGNATION,602098,602098,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
602182-PROGRESS_STAGNATION,602182,602182,PROGRESS_STAGNATION,HIGH,0.1666666666666666,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
602184-COST_ESCALATION,602184,602184,COST_ESCALATION,HIGH,107.37277832455278,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
602185-PROGRESS_DETERIORATION,602185,602185,PROGRESS_DETERIORATION,CRITICAL,-0.3100000000000023,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
602185-COST_ESCALATION,602185,602185,COST_ESCALATION,HIGH,266.2625923438549,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
602185-ANOMALOUS_TRAJECTORY,602185,602185,ANOMALOUS_TRAJECTORY,MEDIUM,0.026509115631923375,Observed pattern is unusual relative to the current portfolio.,Review the underlying reporting and project milestones.
602193-DATA_QUALITY_REVIEW,602193,602193,DATA_QUALITY_REVIEW,LOW,28.6,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
602195-COST_ESCALATION,602195,602195,COST_ESCALATION,HIGH,65.91967049619853,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
602223-PROGRESS_STAGNATION,602223,602223,PROGRESS_STAGNATION,HIGH,0.1666666666666666,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
602223-COST_ESCALATION,602223,602223,COST_ESCALATION,HIGH,92.0175331586187,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
602525-COST_ESCALATION,602525,602525,COST_ESCALATION,HIGH,56.90103203601525,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
602579-PROGRESS_STAGNATION,602579,602579,PROGRESS_STAGNATION,HIGH,0.2266666666666689,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
602582-COST_ESCALATION,602582,602582,COST_ESCALATION,HIGH,156.30623428347164,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
602593-COST_ESCALATION,602593,602593,COST_ESCALATION,HIGH,139.99812212796044,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
602633-DATA_QUALITY_REVIEW,602633,602633,DATA_QUALITY_REVIEW,LOW,28.6,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
602792-PROGRESS_STAGNATION,602792,602792,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
602797-PROGRESS_DETERIORATION,602797,602797,PROGRESS_DETERIORATION,CRITICAL,-5.616666666666667,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
602797-COST_ESCALATION,602797,602797,COST_ESCALATION,HIGH,72.84897322589032,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
602797-ANOMALOUS_TRAJECTORY,602797,602797,ANOMALOUS_TRAJECTORY,MEDIUM,0.06997483611161881,Observed pattern is unusual relative to the current portfolio.,Review the underlying reporting and project milestones.
603293-PROGRESS_STAGNATION,603293,603293,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
603293-COST_ESCALATION,603293,603293,COST_ESCALATION,HIGH,56.17529880478087,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
603945-PROGRESS_STAGNATION,603945,603945,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
603945-EXPENDITURE_PROGRESS_DIVERGENCE,603945,603945,EXPENDITURE_PROGRESS_DIVERGENCE,HIGH,31.13170599153859,Expenditure is unusually ahead of physical progress relative to the portfolio.,Review expenditure milestones against physical deliverables.
603945-COST_ESCALATION,603945,603945,COST_ESCALATION,HIGH,427.3177786007796,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
603945-ANOMALOUS_TRAJECTORY,603945,603945,ANOMALOUS_TRAJECTORY,MEDIUM,0.10068187384960248,Observed pattern is unusual relative to the current portfolio.,Review the underlying reporting and project milestones.
604791-COST_ESCALATION,604791,604791,COST_ESCALATION,HIGH,104.6983664887595,Cost escalation is high relative to the current portfolio.,Review revised-cost basis and mitigation plan.
604795-PROGRESS_STAGNATION,604795,604795,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
